Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:",Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Rewrite introductory material to be more generic (less focused on NetCDF and geoscience applications)],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [A more modern web design],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of domain-specific interactive tutorials],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of generic examples for common workflow patterns],,
1/6/2021 8:27:57,Domain scientist / researcher,Geosciences,Mailing list,Most days,2,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",4,5 (most),2,1 (least),3,Regularly (~weekly),Regularly (~weekly),,Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Regularly (~weekly),Most days,Never,Never,Occasionally (~monthly),,,4,"dask, pandas, scikit-learn, cartopy, matplotlib, numpy, pyresample, satpy","easier to read .mat v7.3 files, interpolation that handles 0-360",Very useful,Very useful,Very useful,Critical,Critical,Very useful,Critical,Critical,Very useful,Somewhat useful,Very useful,Not interested,Not interested,Very interested,Somewhat interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:28:13,Data scientist,Geosciences,Twitter,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, Github Discussions",3,5 (most),4,2,1 (least),Most days,,,Regularly (~weekly),Most days,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Never,Regularly (~weekly),Never,Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,,,4,"dask, xclim, pandas, rasterio, rioxarray, ","Better documentation around `apply_ufunc`, chunking, and other parallel computing options",Not relevant,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Critical,Somewhat interested,Somewhat interested,Very interested,Very interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:28:39,"Domain scientist / researcher, Software engineer / developer",Geosciences,Mailing list,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,3,2,1 (least),Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,"Holoviews, hvplot, dask, pandas, panel",Able to use sel with multidimensional coordinates and computations on a spherical Earth e.g. coarsen is able to take grid points from the other end of the grid in its computation,Somewhat useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not interested,Somewhat interested,Very interested,Very interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:30:18,Software engineer / developer,Geosciences,Mailing list,Occasionally (~monthly),0,0,0,Yes,Documentation (http://xarray.pydata.org/),3,5 (most),2,,4,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,,Never,Never,Never,Never,Never,,4,,,,,Very useful,,,,,Very useful,,Very useful,,,,,,,,1 (highest priority),2,3,4 (lowest priority),,
1/6/2021 8:31:14,"Domain scientist / researcher, Data scientist","Geosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),1,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),3,2,4,1 (least),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),,Regularly (~weekly),,Regularly (~weekly),Regularly (~weekly),,,Regularly (~weekly),,,,,,3,"dask, pandas, geopandas, cartopy",clip by polygon (ie shapefile),Very useful,Somewhat useful,Very useful,Very useful,Very useful,Critical,Critical,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Not interested,Not interested,Somewhat interested,Not interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:33:04,Student,Geosciences,Deepak,Most days,3,3,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",5 (most),4,3,2,1 (least),Most days,,Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),,Most days,Most days,Occasionally (~monthly),,,Occasionally (~monthly),,,,,,,4,,Better tutorials on how to use advanced features like apply_ufunc and interoperability with numba,Somewhat useful,Critical,Very useful,,Not relevant,Critical,Somewhat useful,Somewhat useful,Very useful,Very useful,Not relevant,,,,,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:33:52,Software engineer / developer,Semiconductors,Mailing list,Regularly (~weekly),4,2,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue)",5 (most),3,2,4,1 (least),Never,Most days,Occasionally (~monthly),Never,Most days,Most days,Never,Most days,Never,Never,Never,Most days,Never,Never,Never,Never,Never,Never,,2,"Pandas, matplotlib, dask","Make it easier to write functions that alter the structure of a Dataarray. For example, reducing along a dimension or replacing it. Examples of replacement would be polynomial evaluation and fitting (replaces X coordinate with a ""coefficient"" integer coordinate, or vice versa) or fourier transformation.",Not relevant,Not relevant,Not relevant,Somewhat useful,Not relevant,Somewhat useful,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not interested,Somewhat interested,Not interested,Somewhat interested,Not interested,,4 (lowest priority),1 (highest priority),2,3,,
1/6/2021 8:34:51,Domain scientist / researcher,Geosciences,Friend,Regularly (~weekly),2,2,4,Yes,Documentation (http://xarray.pydata.org/),5 (most),4,3,1 (least),2,Regularly (~weekly),Never,Most days,Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,3,python-cdo,,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Somewhat useful,Somewhat useful,Not interested,Somewhat interested,Very interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:35:39,Data scientist,Geosciences,Mailing list,Most days,3,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",5 (most),4,1 (least),2,3,Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Regularly (~weekly),Most days,Most days,Most days,Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"dask,pandas,fsspec,gcsfs,xesmf,intake,intake-esm","Xarray is already incredibly useful - if I need additional functionality it is almost always there if I look hard enough!  More examples in, for example, https://xarray-contrib.github.io/xarray-tutorial/, would be great.",Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not relevant,Very useful,Not relevant,Very useful,Not relevant,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 8:37:15,Domain scientist / researcher,Geosciences,Mailing list,Most days,2,3,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),4,3,2,1 (least),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Most days,Most days,Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,,2,"dask, pandas, tensorflow, ipywidgets",,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,,1 (highest priority),3,2,4 (lowest priority),,
1/6/2021 8:37:44,Domain scientist / researcher,Geosciences,Twitter,Occasionally (~monthly),1,3,2,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",3,5 (most),2,4,1 (least),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Regularly (~weekly),Most days,Most days,Never,Never,Never,Most days,Never,Never,Never,Never,Never,,,3,"pandas, geopandas, matplotlib, rasterio",,Very useful,Somewhat useful,Very useful,Very useful,Critical,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful,"Very useful, Critical",Not interested,Not interested,Somewhat interested,Somewhat interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 8:37:55,"Educator, Software engineer / developer",,Mailing list,Regularly (~weekly),2,3,3,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues), Github Discussions",4,5 (most),3,2,1 (least),Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Most days,Never,Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Regularly (~weekly),,,4,,,Very useful,Very useful,Critical,Somewhat useful,Somewhat useful,Very useful,Not relevant,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,,,,Very interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:38:40,Software engineer / developer,Geosciences,NCAR Zulip,Regularly (~weekly),1,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,5 (most),4,2,1 (least),Regularly (~weekly),,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,Never,,,2,"dask, pandas, cartopy, matplotlib, other plotting libraries",More complete documentation with examples,Very useful,Critical,Very useful,Somewhat useful,Somewhat useful,,,,,,,,,,,,,,,,,,
1/6/2021 8:39:16,"Student, Domain scientist / researcher",Geosciences,Twitter,Regularly (~weekly),2,3,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",4,5 (most),1 (least),3,2,Regularly (~weekly),Never,Never,Never,Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),,,,Occasionally (~monthly),,,,,,,,2,"pandas, matplotlib, NumPy",better automatic date time parsing for climate netcdf files,Very useful,Critical,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Not interested,Not interested,Not interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:39:36,Software engineer / developer,"Geosciences, Statistics & Machine Learning",Friend,Regularly (~weekly),2,2,,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",4,3,5 (most),2,1 (least),Regularly (~weekly),Never,Never,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,"dask, metpy, netcdf, pandas",,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Somewhat interested,Not interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 8:45:06,Domain scientist / researcher,"Geosciences, Meteorology",Twitter,Most days,2,3,3,Yes,Documentation (http://xarray.pydata.org/),5 (most),2,3,4,1 (least),Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Never,Most days,Never,Never,Never,Never,Never,Never,Never,,,3,"pandas, dask, metview, matplotlib, scikit-learn, seaborn",more examples using real data and not synthetic data,Critical,Critical,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat interested,Very interested,Very interested,Somewhat interested,,,3,4 (lowest priority),1 (highest priority),2,,
