Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]","What common feature requests do you care about most? [New data structures (e.g. lightweight labeled array, tree-like dataset)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:"
6/1/2022 9:21:47,Data scientist,"Geosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),1,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",3,4,5 (most),2,1 (least),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Most days,Never,Never,Regularly (~weekly),Regularly (~weekly),Never,,3,"dask, pandas, numpy, pytorch, scikit-learn, tensorflow",,Critical,Very useful,,Very useful,Very useful,Very useful,Not relevant,Very useful,Not relevant,Very useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,
6/1/2022 9:24:26,Software engineer / developer,Geosciences,Gitter,Most days,1,2,4,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",2,5 (most),3,1 (least),4,Most days,Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,,,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,
6/1/2022 9:36:01,Software engineer / developer,Geosciences,Twitter,Most days,5,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",3,5 (most),4,2,1 (least),Most days,Most days,Occasionally (~monthly),Most days,Most days,Occasionally (~monthly),,Most days,Most days,,,,,,,,,,,4,cf-xarray,lightweight version of xarray (arrays + named dimensions only),Critical,Critical,Critical,Very useful,Critical,Very useful,Very useful,Very useful,Critical,Critical,Critical,Critical,Very interested,Very interested,Very interested,Very interested,Somewhat interested,awkward arrays
6/1/2022 9:53:09,Student,Geosciences,,Most days,3,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (reading past issues)",5 (most),4,3,2,1 (least),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,,4,,,Somewhat useful,Critical,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Not interested,Not interested,Somewhat interested,Not interested,Not interested,
6/1/2022 9:55:02,Domain scientist / researcher,Geosciences,Twitter,Most days,2,1,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev)",4,5 (most),3,2,1 (least),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Most days,Regularly (~weekly),Never,Most days,Never,Never,Never,Never,Regularly (~weekly),Never,Never,Never,Never,Never,,4,,when accessing a scalar from a dataset it is really frustrating when getting errors about dimensions not agreeing. If it is a scalar it would be nice to be able to just use as-is without needing to call float(data['eg']) or data['eg'].data,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat interested,Not interested,Somewhat interested,Somewhat interested,,
6/1/2022 9:59:05,Software engineer / developer,Geosciences,Twitter,Most days,2,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",2,4,5 (most),1 (least),3,Most days,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Regularly (~weekly),Never,,3,"dask, uxarray, datashader, intake-esm",a better way to contribute functionality outside of accessors,"Somewhat useful, Very useful",Very useful,Very useful,Very useful,Very useful,Somewhat useful,Critical,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat interested,Very interested,Very interested,Not interested,Not interested,
6/1/2022 10:06:04,Student,Geosciences,Twitter,Most days,2,2,3,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,3,1 (least),2,Most days,Never,Most days,Never,Most days,Never,Never,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,3,Proplot and scipy,"Better integration with statistics packages (for example: scipy.signal). More examples of how to best utilize Dask (especially on HPC, like NCAR's Cheyenne/Casper).",Not relevant,Critical,Critical,,Very useful,Very useful,Somewhat useful,Not relevant,,Critical,Very useful,Not relevant,,,,,,
6/1/2022 10:07:52,Student,Geosciences,Gitter,Regularly (~weekly),3,3,2,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",5 (most),3,1 (least),2,4,Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,2,"pandas, cartopy, rioxarray, geopandas, numpy",,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,"Not relevant, Somewhat useful",Very useful,Somewhat useful,"Somewhat useful, Very useful",Not interested,Somewhat interested,Very interested,Not interested,Not interested,
6/1/2022 10:11:26,Software engineer / developer,"Biosciences, Geosciences",Twitter,Regularly (~weekly),1,3,3,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",4,3,5 (most),2,1 (least),,Regularly (~weekly),Regularly (~weekly),,Occasionally (~monthly),Regularly (~weekly),,Regularly (~weekly),,,,,,,,,,,,3,dask,Better support of netcdf groups,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,"Somewhat useful, Very useful",Somewhat useful,,Somewhat useful,,Somewhat useful,,,Very interested,,,
6/1/2022 10:12:58,"Educator, Domain scientist / researcher",Geosciences,Twitter,Regularly (~weekly),1,2,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",5 (most),4,3,2,1 (least),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Regularly (~weekly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,,3,"Pandas, dask, cartopy",,Somewhat useful,Very useful,Very useful,Somewhat useful,Not relevant,Very useful,Somewhat useful,Somewhat useful,,,,,,,,,,
6/1/2022 10:24:54,Domain scientist / researcher,Geosciences,Twitter,Most days,5,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",3,5 (most),4,1 (least),2,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Most days,Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,,4,"dask, xskillscore, climpred","faster groupby, option to limit to float32 excluding float64",Somewhat useful,Somewhat useful,Not relevant,Somewhat useful,Very useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Critical,Somewhat useful,Very interested,Somewhat interested,Very interested,Somewhat interested,,
6/1/2022 10:28:35,"Educator, Domain scientist / researcher",Atmospheric science ,Twitter,Most days,2,2,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev)",4,3,2,,1 (least),Most days,Never,Most days,Never,Most days,Most days,Never,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,2,"Pandas, numpy, cartopy, matplotlib, scipy",,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Critical,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,
6/1/2022 10:31:44,Educator,Geosciences,Twitter,Most days,2,2,2,Yes,Tutorials (https://tutorial.xarray.dev),1 (least),5 (most),3,4,2,Most days,Never,Never,Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Most days,Occasionally (~monthly),Never,Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,,1,plotly and pandas,"GIS operations, like resample, masks or cut, mosaiking",Very useful,"Somewhat useful, Very useful",Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,
6/1/2022 11:00:19,"Data scientist, Software engineer / developer",Geosciences,Mailing list,Most days,4,4,4,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),3,4,2,1 (least),Most days,Most days,Most days,Never,Most days,Most days,Occasionally (~monthly),Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,3,"dask, pandas, xclim, numba, numpy, cf-xarray, xesmf, hvplot",,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Not relevant,Not relevant,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,
6/1/2022 11:00:37,Software engineer / developer,"Astrophysics, Statistics & Machine Learning",Gitter,Regularly (~weekly),2,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Documentation (https://docs.xarray.dev/),1 (least),3,5 (most),2,4,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,Never,FITS format,4,"Dask, pandas, scipy, matplotlib",,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Not relevant,Very useful,Somewhat interested,Not interested,Very interested,Very interested,Very interested,Units from Astropy (in astropy.units)
6/1/2022 11:04:06,"Data scientist, Software engineer / developer","Geosciences, Climatology",Mailing list,Most days,3,1,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",2,4,3,1 (least),5 (most),Occasionally (~monthly),Most days,Never,Never,Occasionally (~monthly),Regularly (~weekly),Never,Most days,Most days,Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Never,Occasionally (~monthly),Never,,3,"dask, rioxarray, numpy, matplotlib, xclim",,Not relevant,Very useful,Very useful,Critical,Critical,Somewhat useful,Critical,Very useful,Not relevant,Critical,Somewhat useful,Very useful,Somewhat interested,Not interested,Very interested,Very interested,Not interested,
6/1/2022 11:06:24,"Domain scientist / researcher, Software engineer / developer",Geosciences,Mailing list,Most days,4,4,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",3,5 (most),4,1 (least),2,Most days,Never,Never,Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Most days,Most days,Never,Never,Never,Never,Never,Never,Never,Regularly (~weekly),Never,,4,xGCM,,Not relevant,Very useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Critical,Not relevant,Very useful,Somewhat useful,Somewhat useful,Critical,Somewhat interested,Not interested,Very interested,Somewhat interested,Not interested,
6/1/2022 11:06:47,Domain scientist / researcher,Oceanography,Mailing list,Regularly (~weekly),4,3,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",5 (most),4,2,3,1 (least),Occasionally (~monthly),Never,Regularly (~weekly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),,,4,"pandas, scikit-learn, numpy",,,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Somewhat useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,,
